step_no,template_id,动作,关键检查点,是否通过(手工填写)
1,T02,先核渠道和折扣,990011=90%; 990012=100%; 990012 has_percent_config=0,
2,T01,核日报基础汇总,04-01充值30; 04-02充值2080; 04-03 promotion_total=20; 04-05 promotion_total=-6,
3,T03,核首存cohort名单,共5行; 04-01=990101/990102; 04-02=990103/990104; 04-03=990105,
4,T08,核2~6存,"04-01 cohort 2存=2, 3存=2, 4/5/6存=1; 04-03 cohort后续全0",
5,T10,核日龄趋势,04-01 cohort D1 充值30+投注1300; 04-02 cohort D4 提现100,
6,T04,核累计收入方向,04-01 cohort D2=45; D3=80; D5=106; D7累计=416,
7,T06,核TOP3边界,TOP3=990101/990102/990103,
8,T09,核区间汇总,ALL充值3248投注7300; TOPN充值1160投注7000; NON_TOPN充值2088投注300,
9,T11,核游戏类型分布,体育3900 > 电子1900 > 棋牌1500,
10,T12,核分层游戏类型,TOP3三种类型都有; 非TOP3只有电子=300,
11,T13,核首存分桶,04-01=10元/20元; 04-02=50元/2000元; 04-03=其他,
12,COMMON,核异常点,失败充值66不能算成功充值; 对照渠道990012不能串进主渠道; 分母为0时比例应为空,
